Job Title,Description,District,Work Mode
Analista Programador Postgre/Oracle/Híbrido,"Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de:\n(1) Analista Programador Postgre/Oracle\nRequisitos\nUniversitario de Ingeniería de Sistemas, Informática, o afines\nExperiencia de 3 años en puestos similares como mínimo\nExperiencia realizando labores de Analista de Sistemas\nDesarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages\nDesarrollador BD PostgreSQL nivel avanzado\nExperiencia realizando tuning de Base de Datos\nConocimiento en Oracle Data Integrator (ODI)\nExperiencia en GCP,\nCloud Composer\n, Cloud Storage, Cloud Functions,\nData Funciton\n, Data low\nModelamiento de Base de Datos\nRecomendable que haya realizado labores como Analista Fullstack\nFunciones:\nDiseñar, analizar y desarrollar soluciones en la Base de Datos\nRealizar la documentación correspondiente al proyecto\nRealizar estimaciones del trabajo solicitado\nHacer las correcciones y/o mejoras de los programas realizados\nCoordinar el pase a producción\nDar soporte post-producción de la solución\n¿Qué ofrecemos?\nIngreso a planilla GENERAL de la empresa.\nRemuneración acorde al mercado\nTrabajo Híbrido: 1 vez a la semana (jueves) asistir a las oficinas del cliente en San Borja.\nHorario: Lunes a viernes de 8:30am a 6:30pm\nEl cliente brindará laptop.","San Borja, Lima, Peru",Híbrido
Analista Programador - Sede ATE,"¡Buscamos a nuestro próximo/a Analista Programador!\n¿Te apasiona el desarrollo web y quieres crecer en un equipo innovador? ¡Esta oportunidad es para ti!\n✅\nLo que harás:\n·\nAnalizar, diseñar e implementar aplicaciones web alineadas a las necesidades del negocio.\n·\nDocumentar de forma clara las soluciones implementadas.\n·\nTrabajar en equipo con otros programadores para desplegar y respaldar código.\n·\nDetectar y resolver errores en aplicaciones existentes.\n·\nAportar ideas a iniciativas de mejora continua del área TI.\n✅ Lo que buscamos:\n·\nEgresado/a o bachiller en Ingeniería de Sistemas, Informática, Software o afines.\n·\nExperiencia mínima de\n2 años en desarrollo web full stack\n.\n·\nDominio de\nPython y React\n.\n·\nManejo de bases de datos relacionales:\nSQL Server, MySQL\nu otros.\n✅ Lo que ofrecemos:\n·\nIngreso a planilla desde el primer día (todos los beneficios de ley).\n·\nEPS de libre afiliación.\n·\nCapacitaciones constantes para que sigas creciendo.","Ate, Lima, Peru",Presencial
Desarrollador Full Stack / Surco / Presencial,"En\nWell Human Resources\n, estamos en la búsqueda de un/a\nDesarrollador/a Web Full Stack\n, con enfoque en backend, para una importante empresa con operaciones en los sectores de servicios y marketing digital.\nRequisitos:\nEstudios Universitarios culminado relacionados al puesto.\nExperiencia de 2 años en desarrollo web\nFull Stack\n, con mayor dominio en backend.\nManejo de herramientas para\nintegración de APIs\n(Postman).\nConocimientos o experiencia previa integrando plataformas como:\nSalesforce (SFC), Active Prospect, HubSpot\n(O herramientas similares de automatización y gestión de leads)\nConocimientos en\nWordPress\npara ajustes en sitios web o landing pages.\nDeseable: Nivel intermedio de inglés (lectura técnica).\nCapacidad para trabajar de forma autónoma y en equipos multidisciplinarios.\nFunciones principales:\nDesarrollo y mantenimiento de plataformas web internas y externas.\nImplementación de integraciones API con herramientas de gestión y automatización.\nSoporte técnico a las diferentes áreas respecto a las herramientas digitales utilizadas.\nColaboración con equipos de marketing, tecnología y operaciones para la mejora continua de los canales digitales.\nBeneficios:\nRemuneración acorde al mercado.\nIngreso a planilla con todos los beneficios de ley.\nHorario: Lunes a viernes, de 9:00 a.m. a 6:00 p.m.\nModalidad: 100% presencial (Oficinas en Surco)\nContrato: 6 meses renovables.\nBeneficios corporativos","Santiago de Surco, Lima, Peru",Híbrido
Analista Programador Java,"Analista Programador Java\nResumen del Puesto\nEstamos buscando un\nAnalista Programador Java\ncon experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes.\nResponsabilidades\nDiseñar, desarrollar y mantener aplicaciones utilizando Java.\nAnalizar los requisitos del sistema y diseñar soluciones eficientes.\nColaborar con otros desarrolladores y equipos para entregar productos de alta calidad.\nRealizar pruebas y depuración de aplicaciones.\nDocumentar el código y los procesos de desarrollo.\nRequisitos\nTítulo en Ciencias de la Computación o campo relacionado.\nExperiencia demostrable en programación Java.\nConocimiento de frameworks y herramientas de desarrollo Java.\nHabilidad para trabajar en equipo y comunicarse eficazmente.\nDisponibilidad para trabajar.","Lima, Lima, Peru",Híbrido
Desarrollador Backend Semi-Senior,"Métrica Perú es la primera filial latinoamericana del grupo de consultoría español Métrica Consulting. El grupo comenzó operaciones con el inicio del nuevo siglo y desde entonces ha participado en distintos proyectos en distintos países de Europa Occidental y Latino América. Con Métrica Perú, hemos comenzado a ofrecer nuestros servicios técnicos en el mercado Peruano y desde ahí queremos llegar a la región andina en los próximos años.\nPor encargo de nuestro cliente nos encontramos en la búsqueda de un\nDesarrollador Backend\nRequisitos:\n+3 años de experiencia en desarrollo de software.\n24+ con TypeScript.\nRuntime:\n📷\nFramework:\n📷\nBases de datos:\nMongoDB en AWS.\ny Custom.\nAutenticación:\nJWT,📷\nTesting:\nJest (Unit test) + Supertest.\nORM:\nMongoose (MongoDB).\nContainerización:\nDocker.\nDeploy:\nAWS EKS.\nFlujo de trabajo:\nGit Flow Deployment (Develop, Staging QA, Main).\nCI/CD:\nGitHub Actions.\nHerramientas:\nVault, Swagger, Pino, Morgan.\nSeguridad:\nHelmet, Express Rate Limit, Npm Audit.\nMensajería y colas:\nSQS, SNS.\nStorage:\nAWS S3.\nTelemetría:\nPrometheus, Grafana.\nCode Quality:\nSonarQube.\nExperiencia en empresas del\nsector financiero\n(deseable).\nBeneficios\nRemuneración fija superior al mercado.\nParticipar de un programa de reconocimiento.\nBuen clima laboral\nConvenios educativos, descuentos en centros comerciales, recreativos, etc.\nPertenecer a una prestigiosa empresa de tecnología y generar lazos transnacionales.\nEn Métrica Perú estamos comprometidos con la inclusión, diversidad y equidad de género. Por ello, los procesos de selección buscan asegurar la igualdad de derechos y oportunidades.\n¡Si estás listo para dar el siguiente paso en tu carrera y te apasiona la tecnología, esta es tu oportunidad! #ChambeaenMétrica","Lima, Lima, Peru",Híbrido
Desarrollador/ Líder Técnico,"En Protiviti Perú buscamos un\nDesarrollador de Software\ncon experiencia liderando equipos y que quiera dar el salto profesional como\nLider Tecnico\npara uno de nuestros clientes del sector de telecomunicaciones.\nPrincipales funciones:\nLiderar al equipo técnico en el desarrollo de soluciones digitales.\nDiseñar y supervisar arquitecturas sostenibles y escalables.\nGestionar la implementación de microservicios e integración de sistemas.\nColaborar con equipos de negocio, arquitectura y producto.\nRequisitos:\nBachiller o egresado en Ingeniería de Sistemas, Informática o afines.\nConocimientos en: Python, Angular, JavaScript, Docker, APIs REST, pruebas automatizadas.\nExperiencia en diseño de arquitecturas escalables y microservicios.\nOfrecemos:\nProyecto de 3 meses (Renovable)\nPresencial 100% en Sta Catalina,La Victoria ( 15min de la estación Cultura)\nLunes a viernes de 9:00 a. m. a 6:00 p. m.\nTipo de contrato: Locación de servicios (RxH)\nSe entrega equipo.","La Victoria, Lima, Peru",Híbrido
"Desarrollador Full Stack Node.js, C#, Java, AngularJS","Puesto: Desarrollador Full Stack Senior\n📍 Modalidad de trabajo: Híbrido\n📍 Sede: Surco\nRequisitos:\nEducación mínima:\nIngeniería de Sistemas, Desarrollo de Software o carreras afines\nExperiencia:\nmínimo 5 años en desarrollo de software\nConocimientos sólidos en:\nBases de datos:\nPostgreSQL, MySQL, SQL\nLenguajes y frameworks:\nNode.js, C#, Java, AngularJS\nArquitectura:\nMicroservicios\nCompetencias valoradas:\nCapacidad de análisis y resolución de problemas\nTrabajo en equipo y comunicación efectiva\nProactividad y orientación a resultados\nOfrecemos:\nParticipación en proyectos desafiantes e innovadores\nAmbiente colaborativo y en constante aprendizaje\nPlan de desarrollo profesional","Lima, Lima, Peru",Híbrido
Analista de Imagenes Hospitalarias / Sistemas,"Grupo San Pablo te invita a unirte a su equipo, donde la excelencia, el compromiso y la tecnología de punta se combinan para ofrecer soluciones únicas. Si buscas un entorno dinámico y desafiante. ¡Esta es tu oportunidad de\nmarcar la diferencia en la vida de las personas!\nHoy, queremos que seas parte de nuestro grupo. Buscamos un\nAnalista de Imagenes Hospitalarias/ Sistemas\npara sumarse al Grupo San Pablo y seguir brindando la mejor atención a nuestros pacientes.\nREQUISITOS\n:\nEgresado o Bachiller de las carreras de Ingeniería de Sistemas, Ing.Biomedica, Tecnologo medico o afines\nExperiencia minima de 1 año en puestos afines\nConocimiento del protocolo HL7 y DICOM (deseable)\nExperiencia en el sector salud obligatorio.\nHORARIO:\nLunes a Viernes de (8:00 am a 6.30 pm) y Sabados (8:00am a 1.30 pm)\nFUNCIONES\nProgramar y mantener actualizado el Plan de trabajo.\nGestionar la obtención y disponibilidad de todos los aspectos fiduciarios (presupuesto, adquisiciones y administrativos) que sean requeridos.\nSupervisar el grupo de trabajo de Digitalización de Imágenes Médicas.\nCoordinar con las áreas de Logística, Sistemas y Mantenimiento los pedidos de requerimientos que impactan en el desarrollo del proyecto.\nOtras funciones vinculadas al área que su jefe indique.\nBENEFICIOS:\nSueldo acorde al mercado.\nPlanilla desde el primer día con todos los beneficios de ley. (Regimen General)\nDescuentos corporativos","Santiago de Surco, Lima, Peru",Híbrido
Senior React Developer,"Información Importante\nUbicación del cliente: Lima, Perú\nModalidad de trabajo: Híbrido (2 veces por semana en oficina)\nResumen del puesto\nComo un\nSenior React Developer (17657)\n, formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia.\nResponsabilidades y Funciones\nDesarrollar y mantener aplicaciones frontend escalables utilizando ReactJS con TypeScript, asegurando integración eficiente con APIs REST y un manejo óptimo del estado global (Redux, Context API, Zustand o React Query).\nGarantizar una experiencia de usuario de alto nivel aplicando principios de diseño UX/UI, manteniendo buenas prácticas en estilos (SASS/SCSS/LESS) y asegurando la calidad del código mediante pruebas unitarias con Jest y React Testing Library.\nColaborar en la arquitectura y despliegue continuo del frontend, trabajando con Git/GitLab, pipelines de CI/CD y contribuyendo en la definición de arquitecturas modernas (SPA, Microfrontend, MVC) con soporte de herramientas de analítica web.\nRequisitos y Habilidades\nEgresados de sistemas, desarrollo o afines con +5 años de experiencia.\nDominio de ReactJs y Typescript\nManejo de estado usando Redux, Context Api, Zustand o ReactQuery\nNextJs o Gatsby\nIntegración con APIs REST\nPreprocesadores CSS (SASS/SCSS/LESS)\nDiseño UX/UI\nWeb analytics (Google o Adobe analytics, Page tagging)\nUnit tests (Jest, React Testing library)\nGit, Github/GitLab\nCI/CD (Jenkins, Gitlab pipelines)\nArquitectura frontend (MVC, SPA, Microfrontend)\nAcerca de Encora\nEncora es el socio preferido de ingeniería digital y modernización de algunas de las principales empresas del mundo y empresas nativas digitales. Con más de 9,000 expertos en 47+ oficinas y laboratorios de innovación en todo el mundo, las prácticas tecnológicas de Encora incluyen Ingeniería y Desarrollo de Productos, Servicios en la Nube, Ingeniería de Calidad, DevSecOps, Datos y Análisis, Experiencia Digital, Ciberseguridad e Ingeniería de IA y LLM.\nEn Encora, contratamos profesionales únicamente en función de sus habilidades y calificaciones, y no discriminamos en función de la edad, discapacidad, religión, género, orientación sexual, estado socioeconómico o nacionalidad.",Publicado ayer,Híbrido
Java Developer - Senior,"Actualmente nos encontramos en búsqueda de 02 Desarrolladores Backend Java Senior para que se integren a nuestro equipo.\nProfesional en Ingeniería de Sistemas, Computación, Informática o carreras afines.\nExperiencia mínima de 6 años en desarrollo con entorno Java\nConocimientos sólidos en Java (Genéricos, excepciones, JDBC, networking)\nExperiencia con programación reactiva (RxJava, Webflux)\nDesarrollo de APIs REST y SOAP (JSON, XML, Swagger, OpenAPI)\nDiseño de APIs serverless y trabajo con Azure Functions\nConocimientos en Azure (CosmosDB, Blob Storage, Data Lakes)\nDisponibilidad para trabajar en modalidad híbrida en el distrito Chorrillos\nBeneficios\nIncorporación a planilla con todos los beneficios de ley\nCapacitaciones generales y específicas de acuerdo a tu especialidad\nPlataforma Educativa Multi-idiomas (inglés, francés, alemán, entre otros)\nActividades de integración y Wellness Programs\nDescuentos corporativos en diversos establecimientos","Chorrillos, Lima, Peru",Híbrido
